GAME_ID,GAME_DATE,TEAM_ABBREVIATION_x,GAME_NO_x,AVG_PTS_x,AVG_AST_x,AVG_OREB_x,AVG_DREB_x,OFF_EFF_x,DEF_EFF_x,ELO_x,TEAM_ABBREVIATION_y,GAME_NO_y,AVG_PTS_y,AVG_AST_y,AVG_OREB_y,AVG_DREB_y,OFF_EFF_y,DEF_EFF_y,ELO_y,DIS_PTS,DIS_AST,DIS_OREB,DIS_DREB,DIS_OFF_EFF,DIS_DEF_EFF,DIS_ELO,PREDICTION,WL_x,MIN_x,PTS_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PLUS_MINUS_x,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
0022000038,2020-12-27,CHI,3.0,105.0,21.5,10.5,28.5,98.4991,116.7917,1480.575,GSW,3.0,99.0,20.0,11.5,33.5,88.7097,117.8315,1480.0,6.0,1.5,-1.0,-5.0,9.7894,-1.0397999999999996,0.5750000000000455,,0,239,128,44,86,0.512,17,41.0,0.415,23,31,0.742,7.0,47.0,54.0,27,4.0,6,24,21,-1.0,1,239,129,42,104,0.404,18,47.0,0.383,27,30,0.9,10.0,31.0,41.0,25,17.0,4,12,23,1.0
0022000039,2020-12-27,SAC,3.0,115.0,23.5,16.5,38.5,108.1844,105.8325,1520.0,PHX,3.0,104.5,23.0,8.0,36.0,101.4563,100.9709,1500.0,10.5,0.5,8.5,2.5,6.728099999999998,4.861599999999996,20.0,,0,241,100,36,76,0.474,10,23.0,0.435,18,25,0.72,3.0,36.0,39.0,21,5.0,4,15,23,-16.0,1,239,116,46,94,0.489,14,35.0,0.4,10,11,0.909,8.0,36.0,44.0,34,6.0,3,9,20,16.0
0022000040,2020-12-27,LAL,3.0,123.5,27.5,12.5,36.5,121.0784,113.2353,1500.0,MIN,3.0,113.5,23.0,12.0,32.0,111.6028,104.2281,1520.0,10.0,4.5,0.5,4.5,9.4756,9.007199999999997,-20.0,,1,242,127,50,90,0.556,13,35.0,0.371,14,18,0.778,5.0,41.0,46.0,32,6.0,14,17,19,36.0,0,240,91,38,103,0.369,6,35.0,0.171,9,14,0.643,17.0,31.0,48.0,24,11.0,6,17,24,-36.0
0022000041,2020-12-28,ATL,3.0,123.0,23.5,10.5,39.5,116.6983,102.4668,1519.425,DET,3.0,110.0,26.5,8.5,42.0,98.2143,106.6964,1480.575,13.0,-3.0,2.0,-2.5,18.48400000000001,-4.229599999999991,38.84999999999991,,1,240,128,40,82,0.488,20,42.0,0.476,28,32,0.875,8.0,37.0,45.0,30,5.0,7,13,22,8.0,0,240,120,43,98,0.439,13,41.0,0.317,21,24,0.875,17.0,31.0,48.0,24,7.0,4,8,25,-8.0
0022000042,2020-12-28,BKN,4.0,117.33333333333333,22.666666666666668,9.333333333333334,39.333333333333336,113.1105,96.401,1508.8619,MEM,3.0,115.5,23.5,7.0,37.0,108.0449,118.3349,1480.575,1.8333333333333286,-0.8333333333333321,2.333333333333334,2.3333333333333357,5.065600000000003,-21.93390000000001,28.28690000000006,,0,266,111,41,100,0.41,14,42.0,0.333,15,17,0.882,13.0,37.0,50.0,28,13.0,6,17,20,-5.0,1,266,116,42,98,0.429,10,29.0,0.345,22,29,0.759,16.0,40.0,56.0,20,10.0,4,19,17,5.0
0022000043,2020-12-28,OKC,2.0,109.0,25.0,9.0,45.0,104.2065,102.2945,1509.7123,UTA,3.0,115.5,19.5,15.5,42.5,110.8445,103.6468,1500.0,-6.5,5.5,-6.5,2.5,-6.637999999999991,-1.3522999999999996,9.712299999999914,,0,239,109,40,86,0.465,15,38.0,0.395,14,19,0.737,7.0,30.0,37.0,21,9.0,5,15,16,-1.0,1,240,110,43,86,0.5,13,36.0,0.361,11,14,0.786,8.0,35.0,43.0,24,9.0,6,16,19,1.0
0022000044,2020-12-28,DEN,3.0,115.0,26.5,10.0,29.0,110.0478,117.2249,1480.575,HOU,2.0,126.0,27.0,10.0,32.0,119.0926,120.983,1489.7123,-11.0,-0.5,0.0,-3.0,-9.04480000000001,-3.758099999999999,-9.137299999999868,,1,242,124,46,87,0.529,14,31.0,0.452,18,32,0.563,11.0,41.0,52.0,31,8.0,7,14,18,13.0,0,240,111,39,86,0.453,16,39.0,0.41,17,23,0.739,5.0,33.0,38.0,25,8.0,3,15,25,-13.0
0022000045,2020-12-28,LAL,4.0,124.66666666666667,29.0,10.0,38.0,119.4125,102.8097,1510.575,POR,3.0,114.0,25.0,8.5,34.0,107.5472,116.0377,1500.2877,10.666666666666671,4.0,1.5,4.0,11.86529999999999,-13.227999999999994,10.28729999999996,,0,240,107,41,87,0.471,10,27.0,0.37,15,18,0.833,6.0,35.0,41.0,20,6.0,5,14,14,-8.0,1,241,115,43,92,0.467,16,46.0,0.348,13,15,0.867,7.0,38.0,45.0,27,9.0,6,9,16,8.0
0022000046,2020-12-29,CLE,4.0,122.33333333333333,31.333333333333332,9.333333333333334,39.333333333333336,112.0953,99.8778,1529.425,NYK,4.0,108.66666666666667,23.666666666666668,8.666666666666666,34.333333333333336,107.5198,112.1372,1491.1335000000001,13.666666666666657,7.666666666666664,0.6666666666666679,5.0,4.575499999999991,-12.259400000000014,38.291499999999814,,0,240,86,32,88,0.364,7,32.0,0.219,15,22,0.682,14.0,29.0,43.0,22,13.0,10,13,17,-9.0,1,240,95,34,79,0.43,14,25.0,0.56,13,21,0.619,14.0,41.0,55.0,23,9.0,6,25,21,9.0
0022000047,2020-12-29,DET,4.0,113.33333333333333,25.666666666666668,11.333333333333334,38.333333333333336,105.3937,113.7632,1471.6886,GSW,4.0,109.0,21.666666666666668,11.0,32.666666666666664,95.8382,114.5955,1490.0165,4.333333333333329,4.0,0.3333333333333339,5.666666666666671,9.555499999999995,-0.8323000000000036,-18.3279,,0,239,106,35,92,0.38,13,35.0,0.371,23,29,0.793,16.0,29.0,45.0,21,8.0,6,15,26,-10.0,1,241,116,38,76,0.5,14,33.0,0.424,26,36,0.722,4.0,36.0,40.0,21,8.0,8,19,28,10.0
